"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"UNIT","Uniti Group Inc.","21.63","$3.8B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/unit",
"UTL","UNITIL Corporation","51.65","$767.58M","n/a","Public Utilities","Power Generation","https://www.nasdaq.com/symbol/utl",
"UNTY","Unity Bancorp, Inc.","24.05","$257.55M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/unty",
"UBX","Unity Biotechnology, Inc.","15.59","$659.67M","2018","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/ubx",
"UNVR","Univar Inc.","26.91","$3.8B","2015","Consumer Durables","Specialty Chemicals","https://www.nasdaq.com/symbol/unvr",
"UVV","Universal Corporation","68.5","$1.71B","n/a","Consumer Services","Farming/Seeds/Milling","https://www.nasdaq.com/symbol/uvv",
"OLED","Universal Display Corporation","93.65","$4.41B","n/a","Capital Goods","Electrical Products","https://www.nasdaq.com/symbol/oled",
"UEIC","Universal Electronics Inc.","34","$480.28M","1993","Consumer Non-Durables","Consumer Electronics/Appliances","https://www.nasdaq.com/symbol/ueic",
"UFPI","Universal Forest Products, Inc.","37.63","$2.32B","1993","Basic Industries","Forest Products","https://www.nasdaq.com/symbol/ufpi",
"UHT","Universal Health Realty Income Trust","66.26","$910.12M","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/uht",
"UHS","Universal Health Services, Inc.","114.53","$10.81B","n/a","Health Care","Hospital/Nursing Management","https://www.nasdaq.com/symbol/uhs",
"UVE","UNIVERSAL INSURANCE HOLDINGS INC","36.05","$1.26B","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/uve",
"ULH","Universal Logistics Holdings, Inc.","27.3","$775.18M","n/a","Transportation","Trucking Freight/Courier Services","https://www.nasdaq.com/symbol/ulh",
"UUU","Universal Security Instruments, Inc.","1.35","$3.12M","n/a","Consumer Non-Durables","Electronic Components","https://www.nasdaq.com/symbol/uuu",
"USAP","Universal Stainless & Alloy Products, Inc.","24.07","$208.78M","1994","Basic Industries","Steel/Iron Ore","https://www.nasdaq.com/symbol/usap",
"UTI","Universal Technical Institute Inc","3.28","$82.61M","2003","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/uti",
"UVSP","Univest Corporation of Pennsylvania","27.45","$807.22M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/uvsp",
"UNM","Unum Group","37.7","$8.34B","n/a","Finance","Accident &Health Insurance","https://www.nasdaq.com/symbol/unm",
"UNMA","Unum Group","25.14","n/a","2018","Finance","Accident &Health Insurance","https://www.nasdaq.com/symbol/unma",
"UMRX","Unum Therapeutics Inc.","15.32","$457.13M","2018","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/umrx",
"UPLD","Upland Software, Inc.","36.12","$777.76M","2014","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/upld",
"UQM","UQM Technologies Inc.","0.9748","$52.78M","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/uqm",
"URG","Ur Energy Inc","0.69","$101.23M","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/urg",
"UEC","Uranium Energy Corp.","1.62","$259.84M","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/uec",
"UE","Urban Edge Properties","22.93","$2.61B","2015","Finance","Real Estate","https://www.nasdaq.com/symbol/ue",
"UONE","Urban One, Inc. ","2.4385","$118.35M","n/a","Consumer Services","Broadcasting","https://www.nasdaq.com/symbol/uone",
"UONEK","Urban One, Inc. ","2.05","$99.5M","n/a","Consumer Services","Broadcasting","https://www.nasdaq.com/symbol/uonek",
"URBN","Urban Outfitters, Inc.","44.29","$4.82B","1993","Consumer Services","Clothing/Shoe/Accessory Stores","https://www.nasdaq.com/symbol/urbn",
"URGN","UroGen Pharma Ltd.","49.04","$758.84M","2017","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/urgn",
"UBA","Urstadt Biddle Properties Inc.","22.51","$892.14M","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/uba",
"UBP","Urstadt Biddle Properties Inc.","17.65","$699.52M","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/ubp",
"UBP^G","Urstadt Biddle Properties Inc.","25.23","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ubp^g",
"UBP^H","Urstadt Biddle Properties Inc.","24.61","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ubp^h",
"ECOL","US Ecology, Inc.","66.55","$1.46B","n/a","Public Utilities","Environmental Services","https://www.nasdaq.com/symbol/ecol",
"USFD","US Foods Holding Corp.","39.18","$8.46B","2016","Consumer Non-Durables","Food Distributors","https://www.nasdaq.com/symbol/usfd",
"USAC","USA Compression Partners, LP","16.9","$1.63B","2013","Public Utilities","Natural Gas Distribution","https://www.nasdaq.com/symbol/usac",
"USAT","USA Technologies, Inc.","14.85","$797.01M","n/a","Miscellaneous","Office Equipment/Supplies/Services","https://www.nasdaq.com/symbol/usat",
"USATP","USA Technologies, Inc.","27","$12.02M","n/a","Miscellaneous","Office Equipment/Supplies/Services","https://www.nasdaq.com/symbol/usatp",
"USAK","USA Truck, Inc.","22.36","$186.54M","1992","Transportation","Trucking Freight/Courier Services","https://www.nasdaq.com/symbol/usak",
"USNA","USANA Health Sciences, Inc.","110.4","$2.67B","n/a","Consumer Durables","Specialty Chemicals","https://www.nasdaq.com/symbol/usna",
"USDP","USD Partners LP","10.75","$280.99M","2014","Transportation","Railroads","https://www.nasdaq.com/symbol/usdp",
"USG","USG Corporation","43.25","$6.03B","n/a","Capital Goods","Building Materials","https://www.nasdaq.com/symbol/usg",
"BIF","USLIFE Income Fund, Inc.","10.38","$1.1B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/bif",
"UTMD","Utah Medical Products, Inc.","107.5","$401.03M","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/utmd",
"UTSI","UTStarcom Holdings Corp","3.98","$142.86M","2000","Consumer Durables","Telecommunications Equipment","https://www.nasdaq.com/symbol/utsi",
"UXIN","Uxin Limited","8.45","$2.47B","2018","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/uxin",
"VFC","V.F. Corporation","83.7","$33.02B","n/a","Consumer Non-Durables","Apparel","https://www.nasdaq.com/symbol/vfc",
"EGY","VAALCO Energy, Inc. ","3.19","$187.92M","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/egy",
"MTN","Vail Resorts, Inc.","285.63","$11.52B","1997","Consumer Services","Services-Misc. Amusement & Recreation","https://www.nasdaq.com/symbol/mtn",
"VALE","VALE S.A.","13.02","$67.67B","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/vale",
"VRX","Valeant Pharmaceuticals International, Inc.","24.23","$8.45B","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/vrx",
"VLRX","Valeritas Holdings, Inc.","1.67","$41.23M","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/vlrx",
"VLO","Valero Energy Corporation","106.79","$46.03B","n/a","Energy","Integrated oil Companies","https://www.nasdaq.com/symbol/vlo",
"VLP","Valero Energy Partners LP","38.75","$2.68B","2013","Energy","Natural Gas Distribution","https://www.nasdaq.com/symbol/vlp",
"VHI","Valhi, Inc.","5.22","$1.77B","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/vhi",
"VALX","Validea Market Legends ETF","29.69","$25.23M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/valx",
"VR","Validus Holdings, Ltd.","67.68","$5.37B","2007","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/vr",
"VR^A","Validus Holdings, Ltd.","26.2","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/vr^a",
"VR^B","Validus Holdings, Ltd.","25.7","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/vr^b",
"VLY","Valley National Bancorp","12.47","$4.13B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/vly",
"VLY.WS","Valley National Bancorp","n/a","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/vly.ws",
"VLY^A","Valley National Bancorp","26.8899","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/vly^a",
"VLY^B","Valley National Bancorp","26.15","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/vly^b",
"VMI","Valmont Industries, Inc.","138.3","$3.12B","n/a","Capital Goods","Metal Fabrications","https://www.nasdaq.com/symbol/vmi",
"VALU","Value Line, Inc.","22.79","$221.02M","1983","Finance","Investment Managers","https://www.nasdaq.com/symbol/valu",
"VVV","Valvoline Inc.","21.52","$4.21B","2016","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/vvv",
"VNDA","Vanda Pharmaceuticals Inc.","19.9","$1.04B","2006","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/vnda",
"BBH","VanEck Vectors Biotech ETF","128.28","$435.7M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/bbh",
"GNRX","VanEck Vectors Generic Drugs ETF","25.2125","$3.78M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/gnrx",
"PPH","VanEck Vectors Pharmaceutical ETF","61.1","$286.45M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pph",
"VWOB","Vanguard Emerging Markets Government Bond ETF","76.19","$1.02B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/vwob",
